Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,147.000000,151.000000,143.000000,147.000000,147.000000,2169500
2013-01-03,148.000000,155.000000,147.000000,148.000000,148.000000,4685500
2013-01-04,157.000000,157.000000,149.000000,157.000000,157.000000,7238500
2013-01-07,168.000000,177.000000,157.000000,168.000000,168.000000,22386000
2013-01-08,164.000000,177.000000,164.000000,164.000000,164.000000,16012500
2013-01-09,162.000000,168.000000,161.000000,162.000000,162.000000,4655000
2013-01-10,158.000000,165.000000,157.000000,158.000000,158.000000,2057500
2013-01-11,159.000000,162.000000,159.000000,159.000000,159.000000,1242000
2013-01-14,160.000000,164.000000,160.000000,160.000000,160.000000,2634500
2013-01-15,158.000000,162.000000,158.000000,158.000000,158.000000,1745000
2013-01-16,160.000000,160.000000,157.000000,160.000000,160.000000,1480000
2013-01-17,160.000000,161.000000,159.000000,160.000000,160.000000,925500
2013-01-18,159.000000,160.000000,158.000000,159.000000,159.000000,934000
2013-01-21,160.000000,160.000000,158.000000,160.000000,160.000000,922500
2013-01-22,160.000000,160.000000,160.000000,160.000000,160.000000,0
2013-01-23,159.000000,161.000000,158.000000,159.000000,159.000000,4656000
2013-01-25,159.000000,159.000000,158.000000,159.000000,159.000000,745000
2013-01-28,161.000000,164.000000,158.000000,161.000000,161.000000,6019500
2013-01-29,161.000000,163.000000,160.000000,161.000000,161.000000,2883000
2013-01-30,161.000000,167.000000,160.000000,161.000000,161.000000,7790000
2013-01-31,161.000000,164.000000,158.000000,161.000000,161.000000,2624000
2013-02-01,160.000000,162.000000,160.000000,160.000000,160.000000,2940500
2013-02-04,158.000000,161.000000,158.000000,158.000000,158.000000,2266500
2013-02-05,158.000000,159.000000,157.000000,158.000000,158.000000,904000
2013-02-06,158.000000,160.000000,158.000000,158.000000,158.000000,934500
2013-02-07,158.000000,160.000000,157.000000,158.000000,158.000000,806500
2013-02-08,157.000000,159.000000,157.000000,157.000000,157.000000,883500
2013-02-11,162.000000,164.000000,157.000000,162.000000,162.000000,4761000
2013-02-12,163.000000,166.000000,163.000000,163.000000,163.000000,5732000
2013-02-13,162.000000,165.000000,162.000000,162.000000,162.000000,2874500
2013-02-14,162.000000,163.000000,161.000000,162.000000,162.000000,2192000
2013-02-15,161.000000,162.000000,160.000000,161.000000,161.000000,1570000
2013-02-18,161.000000,162.000000,159.000000,161.000000,161.000000,1776000
2013-02-19,161.000000,163.000000,160.000000,161.000000,161.000000,1868500
2013-02-20,163.000000,166.000000,161.000000,163.000000,163.000000,5548000
2013-02-21,171.000000,181.000000,165.000000,171.000000,171.000000,60115500
2013-02-22,171.000000,173.000000,167.000000,171.000000,171.000000,6567000
2013-02-25,168.000000,172.000000,167.000000,168.000000,168.000000,9188000
2013-02-26,172.000000,177.000000,166.000000,172.000000,172.000000,18537000
2013-02-27,179.000000,182.000000,171.000000,179.000000,179.000000,37926500
2013-02-28,176.000000,184.000000,176.000000,176.000000,176.000000,20948000
2013-03-01,175.000000,178.000000,174.000000,175.000000,175.000000,6051000
2013-03-04,175.000000,175.000000,175.000000,175.000000,175.000000,0
2013-03-05,176.000000,181.000000,174.000000,176.000000,176.000000,13887000
2013-03-06,175.000000,181.000000,175.000000,175.000000,175.000000,8960000
2013-03-07,185.000000,189.000000,175.000000,185.000000,185.000000,39494500
2013-03-08,191.000000,200.000000,186.000000,191.000000,191.000000,66033000
2013-03-11,187.000000,194.000000,187.000000,187.000000,187.000000,9775500
2013-03-13,205.000000,210.000000,187.000000,205.000000,205.000000,49775500
2013-03-14,197.000000,205.000000,193.000000,197.000000,197.000000,21822500
2013-03-15,200.000000,205.000000,197.000000,200.000000,200.000000,11384000
2013-03-18,200.000000,205.000000,197.000000,200.000000,200.000000,11545000
2013-03-19,198.000000,205.000000,198.000000,198.000000,198.000000,5241500
2013-03-20,205.000000,215.000000,197.000000,205.000000,205.000000,36139500
2013-03-21,200.000000,210.000000,200.000000,200.000000,200.000000,15736500
2013-03-22,205.000000,220.000000,200.000000,205.000000,205.000000,107042000
2013-03-25,200.000000,215.000000,200.000000,200.000000,200.000000,74087000
2013-03-26,200.000000,205.000000,200.000000,200.000000,200.000000,3748500
2013-03-27,200.000000,205.000000,200.000000,200.000000,200.000000,6037000
2013-03-28,200.000000,210.000000,197.000000,200.000000,200.000000,49395500
2013-04-01,200.000000,205.000000,200.000000,200.000000,200.000000,8405500
2013-04-02,200.000000,205.000000,199.000000,200.000000,200.000000,10802500
2013-04-03,200.000000,205.000000,200.000000,200.000000,200.000000,10802500
2013-04-04,200.000000,205.000000,199.000000,200.000000,200.000000,5554500
2013-04-05,198.000000,200.000000,198.000000,198.000000,198.000000,3098000
2013-04-08,205.000000,205.000000,191.000000,205.000000,205.000000,26854000
2013-04-09,205.000000,215.000000,200.000000,205.000000,205.000000,64774000
2013-04-10,210.000000,215.000000,205.000000,210.000000,210.000000,58217000
2013-04-11,205.000000,230.000000,205.000000,205.000000,205.000000,202516000
2013-04-12,205.000000,215.000000,205.000000,205.000000,205.000000,43626000
2013-04-15,200.000000,210.000000,200.000000,200.000000,200.000000,17541500
2013-04-16,200.000000,205.000000,199.000000,200.000000,200.000000,8686500
2013-04-17,200.000000,210.000000,200.000000,200.000000,200.000000,15879000
2013-04-18,205.000000,205.000000,200.000000,205.000000,205.000000,3456000
2013-04-19,200.000000,205.000000,199.000000,200.000000,200.000000,5524000
2013-04-22,200.000000,200.000000,196.000000,197.000000,197.000000,7899500
2013-04-23,197.000000,197.000000,193.000000,194.000000,194.000000,3
2013-04-24,194.000000,205.000000,194.000000,200.000000,200.000000,12861500
2013-04-25,200.000000,205.000000,199.000000,200.000000,200.000000,5427500
2013-04-26,200.000000,205.000000,198.000000,200.000000,200.000000,16199500
2013-04-29,200.000000,205.000000,200.000000,200.000000,200.000000,5179000
2013-04-30,200.000000,205.000000,200.000000,200.000000,200.000000,14027500
2013-05-01,200.000000,210.000000,200.000000,205.000000,205.000000,20353000
2013-05-02,205.000000,210.000000,205.000000,205.000000,205.000000,21520500
2013-05-03,205.000000,215.000000,205.000000,210.000000,210.000000,32862500
2013-05-06,210.000000,215.000000,210.000000,210.000000,210.000000,7034000
2013-05-07,210.000000,225.000000,210.000000,220.000000,220.000000,40278000
2013-05-08,220.000000,225.000000,215.000000,215.000000,215.000000,18722500
2013-05-10,215.000000,225.000000,215.000000,220.000000,220.000000,11984000
2013-05-13,220.000000,230.000000,220.000000,225.000000,225.000000,14404500
2013-05-14,225.000000,230.000000,225.000000,225.000000,225.000000,3846500
2013-05-15,225.000000,230.000000,225.000000,225.000000,225.000000,2577000
